state,county,primary_city,zip,locality type,address,phone
MN,Washington County,Afton,55001,County,"14949 62nd St N  Stillwater, MN 55082",651-430-6175
MN,Washington County,Bayport,55003,County,"14949 62nd St N  Stillwater, MN 55082",651-430-6175
MN,Anoka County,Bethel,55005,County,"2100 3rd Ave, Suite W130  Anoka, MN 55303-5031",763-324-1300
MN,Isanti County,Braham,55006,County,"555 18th Avenue SW  Cambridge, MN 55008",763-689-1644
MN,Kanabec County,Brook Park,55007,County,"18 N Vine St Ste 261-A  Mora, MN 55051-1351",320-679-6430
MN,Isanti County,Cambridge,55008,County,"555 18th Avenue SW  Cambridge, MN 55008",763-689-1644
MN,Goodhue County,Cannon Falls,55009,County,"509 W 5th St  Red Wing, MN 55066",651-385-3040
MN,Anoka County,Cedar,55011,County,"2100 3rd Ave, Suite W130  Anoka, MN 55303-5031",763-324-1300
MN,Chisago County,Center City,55012,County,"313 N Main St Rm 271  Center City, MN 55012-7656",651-213-8509
MN,Chisago County,Chisago City,55013,County,"313 N Main St Rm 271  Center City, MN 55012-7656",651-213-8509
MN,Anoka County,Circle Pines,55014,County,"2100 3rd Ave, Suite W130  Anoka, MN 55303-5031",763-324-1300
MN,Washington County,Cottage Grove,55016,County,"14949 62nd St N  Stillwater, MN 55082",651-430-6175
MN,Isanti County,Dalbo,55017,County,"555 18th Avenue SW  Cambridge, MN 55008",763-689-1644
MN,Goodhue County,Dennison,55018,County,"509 W 5th St  Red Wing, MN 55066",651-385-3040
MN,Rice County,Dundas,55019,County,"320 3rd St NW  Faribault, MN 55021",507-332-6104
MN,Scott County,Elko New Market,55020,County,"600 County Trail E Jordan, MN 55352",952-496-8560
MN,Rice County,Faribault,55021,County,"320 3rd St NW  Faribault, MN 55021",507-332-6104
MN,Dakota County,Farmington,55024,County,"1590 Highway 55 Ste 2300  Hastings, MN 55033",651-438-4305
MN,Washington County,Forest Lake,55025,County,"14949 62nd St N  Stillwater, MN 55082",651-430-6175
MN,Goodhue County,Frontenac,55026,County,"509 W 5th St  Red Wing, MN 55066",651-385-3040
MN,Goodhue County,Goodhue,55027,County,"509 W 5th St  Red Wing, MN 55066",651-385-3040
MN,Pine County,Grasston,55030,County,"635 Northridge Dr NW Ste 240  Pine City, MN 55063",320-591-1670
MN,Dakota County,Hampton,55031,County,"1590 Highway 55 Ste 2300  Hastings, MN 55033",651-438-4305
MN,Chisago County,Harris,55032,County,"313 N Main St Rm 271  Center City, MN 55012-7656",651-213-8509
MN,Dakota County,Hastings,55033,County,"1590 Highway 55 Ste 2300  Hastings, MN 55033",651-438-4305
MN,Pine County,Henriette,55036,County,"635 Northridge Dr NW Ste 240  Pine City, MN 55063",320-591-1670
MN,Pine County,Hinckley,55037,County,"635 Northridge Dr NW Ste 240  Pine City, MN 55063",320-591-1670
MN,Washington County,Hugo,55038,County,"14949 62nd St N  Stillwater, MN 55082",651-430-6175
MN,Isanti County,Isanti,55040,County,"555 18th Avenue SW  Cambridge, MN 55008",763-689-1644
MN,Wabasha County,Lake City,55041,County,"625 Jefferson Ave  Wabasha, MN 55981",651-565-2648
MN,Washington County,Lake Elmo,55042,County,"14949 62nd St N  Stillwater, MN 55082",651-430-6175
MN,Washington County,Lakeland,55043,County,"14949 62nd St N  Stillwater, MN 55082",651-430-6175
MN,Dakota County,Lakeville,55044,County,"1590 Highway 55 Ste 2300  Hastings, MN 55033",651-438-4305
MN,Chisago County,Lindstrom,55045,County,"313 N Main St Rm 271  Center City, MN 55012-7656",651-213-8509
MN,Rice County,Lonsdale,55046,County,"320 3rd St NW  Faribault, MN 55021",507-332-6104
MN,Washington County,Marine On Saint Croix,55047,County,"14949 62nd St N  Stillwater, MN 55082",651-430-6175
MN,Steele County,Medford,55049,County,"630 Florence Ave  Owatonna, MN 55060",507-444-7410
MN,Kanabec County,Mora,55051,County,"18 N Vine St Ste 261-A  Mora, MN 55051-1351",320-679-6430
MN,Rice County,Morristown,55052,County,"320 3rd St NW  Faribault, MN 55021",507-332-6104
MN,Rice County,Nerstrand,55053,County,"320 3rd St NW  Faribault, MN 55021",507-332-6104
MN,Scott County,Elko New Market,55054,County,"600 County Trail E Jordan, MN 55352",952-496-8560
MN,Washington County,Newport,55055,County,"14949 62nd St N  Stillwater, MN 55082",651-430-6175
MN,Chisago County,North Branch,55056,County,"313 N Main St Rm 271  Center City, MN 55012-7656",651-213-8509
MN,Rice County,Northfield,55057,County,"320 3rd St NW  Faribault, MN 55021",507-332-6104
MN,Steele County,Owatonna,55060,County,"630 Florence Ave  Owatonna, MN 55060",507-444-7410
MN,Pine County,Pine City,55063,County,"635 Northridge Dr NW Ste 240  Pine City, MN 55063",320-591-1670
MN,Dakota County,Randolph,55065,County,"1590 Highway 55 Ste 2300  Hastings, MN 55033",651-438-4305
MN,Goodhue County,Red Wing,55066,County,"509 W 5th St  Red Wing, MN 55066",651-385-3040
MN,Dakota County,Rosemount,55068,County,"1590 Highway 55 Ste 2300  Hastings, MN 55033",651-438-4305
MN,Chisago County,Rush City,55069,County,"313 N Main St Rm 271  Center City, MN 55012-7656",651-213-8509
MN,Anoka County,Saint Francis,55070,County,"2100 3rd Ave, Suite W130  Anoka, MN 55303-5031",763-324-1300
MN,Washington County,Saint Paul Park,55071,County,"14949 62nd St N  Stillwater, MN 55082",651-430-6175
MN,Pine County,Sandstone,55072,County,"635 Northridge Dr NW Ste 240  Pine City, MN 55063",320-591-1670
MN,Washington County,Scandia,55073,County,"14949 62nd St N  Stillwater, MN 55082",651-430-6175
MN,Chisago County,Shafer,55074,County,"313 N Main St Rm 271  Center City, MN 55012-7656",651-213-8509
MN,Dakota County,South Saint Paul,55075,County,"1590 Highway 55 Ste 2300  Hastings, MN 55033",651-438-4305
MN,Dakota County,Inver Grove Heights,55076,County,"1590 Highway 55 Ste 2300  Hastings, MN 55033",651-438-4305
MN,Dakota County,Inver Grove Heights,55077,County,"1590 Highway 55 Ste 2300  Hastings, MN 55033",651-438-4305
MN,Chisago County,Stacy,55079,County,"313 N Main St Rm 271  Center City, MN 55012-7656",651-213-8509
MN,Isanti County,Stanchfield,55080,County,"555 18th Avenue SW  Cambridge, MN 55008",763-689-1644
MN,Washington County,Stillwater,55082,County,"14949 62nd St N  Stillwater, MN 55082",651-430-6175
MN,Chisago County,Taylors Falls,55084,County,"313 N Main St Rm 271  Center City, MN 55012-7656",651-213-8509
MN,Rice County,Warsaw,55087,County,"320 3rd St NW  Faribault, MN 55021",507-332-6104
MN,Rice County,Webster,55088,County,"320 3rd St NW  Faribault, MN 55021",507-332-6104
MN,Goodhue County,Welch,55089,County,"509 W 5th St  Red Wing, MN 55066",651-385-3040
MN,Chisago County,Wyoming,55092,County,"313 N Main St Rm 271  Center City, MN 55012-7656",651-213-8509
MN,Ramsey County,Saint Paul,55101,County,"90 W Plato Blvd Ste 160  St Paul, MN 55107",651-266-2171
MN,Ramsey County,Saint Paul,55102,County,"90 W Plato Blvd Ste 160  St Paul, MN 55107",651-266-2171
MN,Ramsey County,Saint Paul,55103,County,"90 W Plato Blvd Ste 160  St Paul, MN 55107",651-266-2171
MN,Ramsey County,Saint Paul,55104,County,"90 W Plato Blvd Ste 160  St Paul, MN 55107",651-266-2171
MN,Ramsey County,Saint Paul,55105,County,"90 W Plato Blvd Ste 160  St Paul, MN 55107",651-266-2171
MN,Ramsey County,Saint Paul,55106,County,"90 W Plato Blvd Ste 160  St Paul, MN 55107",651-266-2171
MN,Ramsey County,Saint Paul,55107,County,"90 W Plato Blvd Ste 160  St Paul, MN 55107",651-266-2171
MN,Ramsey County,Saint Paul,55108,County,"90 W Plato Blvd Ste 160  St Paul, MN 55107",651-266-2171
MN,Ramsey County,Saint Paul,55109,County,"90 W Plato Blvd Ste 160  St Paul, MN 55107",651-266-2171
MN,Ramsey County,Saint Paul,55110,County,"90 W Plato Blvd Ste 160  St Paul, MN 55107",651-266-2171
MN,Hennepin County,Saint Paul,55111,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Ramsey County,Saint Paul,55112,County,"90 W Plato Blvd Ste 160  St Paul, MN 55107",651-266-2171
MN,Ramsey County,Saint Paul,55113,County,"90 W Plato Blvd Ste 160  St Paul, MN 55107",651-266-2171
MN,Ramsey County,Saint Paul,55114,County,"90 W Plato Blvd Ste 160  St Paul, MN 55107",651-266-2171
MN,Washington County,Saint Paul,55115,County,"14949 62nd St N  Stillwater, MN 55082",651-430-6175
MN,Ramsey County,Saint Paul,55116,County,"90 W Plato Blvd Ste 160  St Paul, MN 55107",651-266-2171
MN,Ramsey County,Saint Paul,55117,County,"90 W Plato Blvd Ste 160  St Paul, MN 55107",651-266-2171
MN,Dakota County,Saint Paul,55118,County,"1590 Highway 55 Ste 2300  Hastings, MN 55033",651-438-4305
MN,Ramsey County,Saint Paul,55119,County,"90 W Plato Blvd Ste 160  St Paul, MN 55107",651-266-2171
MN,Dakota County,Saint Paul,55120,County,"1590 Highway 55 Ste 2300  Hastings, MN 55033",651-438-4305
MN,Dakota County,Saint Paul,55121,County,"1590 Highway 55 Ste 2300  Hastings, MN 55033",651-438-4305
MN,Dakota County,Saint Paul,55122,County,"1590 Highway 55 Ste 2300  Hastings, MN 55033",651-438-4305
MN,Dakota County,Saint Paul,55123,County,"1590 Highway 55 Ste 2300  Hastings, MN 55033",651-438-4305
MN,Dakota County,Saint Paul,55124,County,"1590 Highway 55 Ste 2300  Hastings, MN 55033",651-438-4305
MN,Washington County,Saint Paul,55125,County,"14949 62nd St N  Stillwater, MN 55082",651-430-6175
MN,Ramsey County,Saint Paul,55126,County,"90 W Plato Blvd Ste 160  St Paul, MN 55107",651-266-2171
MN,Ramsey County,Saint Paul,55127,County,"90 W Plato Blvd Ste 160  St Paul, MN 55107",651-266-2171
MN,Washington County,Saint Paul,55128,County,"14949 62nd St N  Stillwater, MN 55082",651-430-6175
MN,Washington County,Saint Paul,55129,County,"14949 62nd St N  Stillwater, MN 55082",651-430-6175
MN,Ramsey County,Saint Paul,55130,County,"90 W Plato Blvd Ste 160  St Paul, MN 55107",651-266-2171
MN,Wright County,Albertville,55301,County,"10 2nd St NW Rm 230  Buffalo, MN 55313-1195",763-682-7692
MN,Wright County,Annandale,55302,County,"10 2nd St NW Rm 230  Buffalo, MN 55313-1195",763-682-7692
MN,Anoka County,Anoka,55303,County,"2100 3rd Ave, Suite W130  Anoka, MN 55303-5031",763-324-1300
MN,Anoka County,Andover,55304,County,"2100 3rd Ave, Suite W130  Anoka, MN 55303-5031",763-324-1300
MN,Hennepin County,Hopkins,55305,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
MN,Dakota County,Burnsville,55306,County,"1590 Highway 55 Ste 2300  Hastings, MN 55033",651-438-4305
MN,Sibley County,Arlington,55307,County,"400 Court Avenue  Gaylord, MN 55334-0171",507-237-4070
MN,Sherburne County,Becker,55308,County,"13880 Business Center Drive NW  Elk River, MN 55330",763-765-4351
MN,Sherburne County,Big Lake,55309,County,"13880 Business Center Drive NW  Elk River, MN 55330",763-765-4351
MN,Renville County,Bird Island,55310,County,"500 E Depue Ave Ste 202  Olivia, MN 56277",320-523-2071
MN,Hennepin County,Osseo,55311,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
